年度,食品群,検体名,Bacteria,Serotype,検体数,陽性数,品目カテゴリ
2011,野菜,ホウレンソウ,腸管出血性大腸菌,O157,13,-,実施自治体*1選定品目
2011,野菜,ホウレンソウ,腸管出血性大腸菌,O26,13,-,実施自治体*1選定品目
2011,野菜,レタス,E.coli,-,103,12,厚生労働省指定品目
2011,野菜,レタス,カンピロバクター,-,103,-,厚生労働省指定品目
2011,野菜,レタス,サルモネラ属菌,-,103,-,厚生労働省指定品目
2011,野菜,レタス,腸管出血性大腸菌,O111,103,-,厚生労働省指定品目
2011,野菜,レタス,腸管出血性大腸菌,O157,103,-,厚生労働省指定品目
2011,野菜,レタス,腸管出血性大腸菌,O26,103,-,厚生労働省指定品目
2011,野菜,大根,E.coli,-,23,3,実施自治体*1選定品目
2011,野菜,大根,カンピロバクター,-,23,-,実施自治体*1選定品目
2011,野菜,大根,サルモネラ属菌,-,23,-,実施自治体*1選定品目
2011,野菜,大根,腸管出血性大腸菌,O111,23,-,実施自治体*1選定品目
2011,野菜,大根,腸管出血性大腸菌,O157,23,-,実施自治体*1選定品目
2011,野菜,大根,腸管出血性大腸菌,O26,23,-,実施自治体*1選定品目
2011,野菜,水菜,E.coli,-,21,6,実施自治体*1選定品目
2011,野菜,水菜,カンピロバクター,-,21,-,実施自治体*1選定品目
2011,野菜,水菜,サルモネラ属菌,-,21,-,実施自治体*1選定品目
2011,野菜,水菜,腸管出血性大腸菌,O111,21,-,実施自治体*1選定品目
2011,野菜,水菜,腸管出血性大腸菌,O157,21,-,実施自治体*1選定品目
2011,野菜,水菜,腸管出血性大腸菌,O26,21,-,実施自治体*1選定品目
2011,野菜,漬け物野菜,E.coli,-,158,16,厚生労働省指定品目
2011,野菜,漬け物野菜,カンピロバクター,-,158,-,厚生労働省指定品目
2011,野菜,漬け物野菜,サルモネラ属菌,-,158,-,厚生労働省指定品目
2011,野菜,漬け物野菜,腸管出血性大腸菌,O111,158,-,厚生労働省指定品目
2011,野菜,漬け物野菜,腸管出血性大腸菌,O157,158,-,厚生労働省指定品目
2011,野菜,漬け物野菜,腸管出血性大腸菌,O26,158,-,厚生労働省指定品目
2011,野菜,ｷｭｳﾘ,E.coli,-,112,7,厚生労働省指定品目
2011,野菜,ｷｭｳﾘ,カンピロバクター,-,112,-,厚生労働省指定品目
2011,野菜,ｷｭｳﾘ,サルモネラ属菌,-,112,-,厚生労働省指定品目
2011,野菜,ｷｭｳﾘ,腸管出血性大腸菌,O111,112,-,厚生労働省指定品目
2011,野菜,ｷｭｳﾘ,腸管出血性大腸菌,O157,112,-,厚生労働省指定品目
2011,野菜,ｷｭｳﾘ,腸管出血性大腸菌,O26,112,-,厚生労働省指定品目
2011,食肉,その他の加工用食肉等*3,E.coli,-,101,32,実施自治体*1選定品目
2011,食肉,その他の加工用食肉等*3,カンピロバクター,-,101,1,実施自治体*1選定品目
2011,食肉,その他の加工用食肉等*3,サルモネラ属菌,-,101,1,実施自治体*1選定品目
2011,食肉,その他の加工用食肉等*3,腸管出血性大腸菌,O111,101,-,実施自治体*1選定品目
2011,食肉,その他の加工用食肉等*3,腸管出血性大腸菌,O157,101,-,実施自治体*1選定品目
2011,食肉,その他の加工用食肉等*3,腸管出血性大腸菌,O26,101,-,実施自治体*1選定品目
2011,食肉,その他の生食用食肉*4,E.coli,-,10,6,実施自治体*1選定品目
2011,食肉,その他の生食用食肉*4,カンピロバクター,-,10,-,実施自治体*1選定品目
2011,食肉,その他の生食用食肉*4,サルモネラ属菌,-,10,-,実施自治体*1選定品目
2011,食肉,その他の生食用食肉*4,腸管出血性大腸菌,O111,10,-,実施自治体*1選定品目
2011,食肉,その他の生食用食肉*4,腸管出血性大腸菌,O157,10,-,実施自治体*1選定品目
2011,食肉,その他の生食用食肉*4,腸管出血性大腸菌,O26,10,-,実施自治体*1選定品目
2011,食肉,その他の食肉加工品*5,E.coli,-,3,-,実施自治体*1選定品目
2011,食肉,その他の食肉加工品*5,カンピロバクター,-,3,-,実施自治体*1選定品目
2011,食肉,その他の食肉加工品*5,サルモネラ属菌,-,3,-,実施自治体*1選定品目
2011,食肉,その他の食肉加工品*5,腸管出血性大腸菌,O111,3,-,実施自治体*1選定品目
2011,食肉,その他の食肉加工品*5,腸管出血性大腸菌,O157,3,-,実施自治体*1選定品目
2011,食肉,その他の食肉加工品*5,腸管出血性大腸菌,O26,3,-,実施自治体*1選定品目
2011,食肉,カットステーキ肉,E.coli,-,52,21,厚生労働省指定品目
2011,食肉,カットステーキ肉,カンピロバクター,-,52,-,厚生労働省指定品目
2011,食肉,カットステーキ肉,サルモネラ属菌,-,52,-,厚生労働省指定品目
2011,食肉,カットステーキ肉,腸管出血性大腸菌,O111,52,-,厚生労働省指定品目
2011,食肉,カットステーキ肉,腸管出血性大腸菌,O157,52,-,厚生労働省指定品目
2011,食肉,カットステーキ肉,腸管出血性大腸菌,O26,52,-,厚生労働省指定品目
2011,食肉,ミンチ肉（牛豚混合）,E.coli,-,103,72,厚生労働省指定品目
2011,食肉,ミンチ肉（牛豚混合）,カンピロバクター,-,103,-,厚生労働省指定品目
2011,食肉,ミンチ肉（牛豚混合）,サルモネラ属菌,-,103,3,厚生労働省指定品目
2011,食肉,ミンチ肉（牛豚混合）,腸管出血性大腸菌,O111,103,-,厚生労働省指定品目
2011,食肉,ミンチ肉（牛豚混合）,腸管出血性大腸菌,O157,103,-,厚生労働省指定品目
2011,食肉,ミンチ肉（牛豚混合）,腸管出血性大腸菌,O26,103,-,厚生労働省指定品目
2011,食肉,ミンチ肉（牛）,E.coli,-,102,67,厚生労働省指定品目
2011,食肉,ミンチ肉（牛）,カンピロバクター,-,102,-,厚生労働省指定品目
2011,食肉,ミンチ肉（牛）,サルモネラ属菌,-,102,3,厚生労働省指定品目
2011,食肉,ミンチ肉（牛）,腸管出血性大腸菌,O111,102,-,厚生労働省指定品目
2011,食肉,ミンチ肉（牛）,腸管出血性大腸菌,O157,102,-,厚生労働省指定品目
2011,食肉,ミンチ肉（牛）,腸管出血性大腸菌,O26,102,-,厚生労働省指定品目
2011,食肉,ミンチ肉（豚）,E.coli,-,144,99,厚生労働省指定品目
2011,食肉,ミンチ肉（豚）,カンピロバクター,-,144,-,厚生労働省指定品目
2011,食肉,ミンチ肉（豚）,サルモネラ属菌,-,144,2,厚生労働省指定品目
2011,食肉,ミンチ肉（豚）,腸管出血性大腸菌,O111,144,-,厚生労働省指定品目
2011,食肉,ミンチ肉（豚）,腸管出血性大腸菌,O157,144,-,厚生労働省指定品目
2011,食肉,ミンチ肉（豚）,腸管出血性大腸菌,O26,144,-,厚生労働省指定品目
2011,食肉,ミンチ肉（鶏）,E.coli,-,159,127,厚生労働省指定品目
2011,食肉,ミンチ肉（鶏）,カンピロバクター,-,159,60,厚生労働省指定品目
2011,食肉,ミンチ肉（鶏）,サルモネラ属菌,-,159,88,厚生労働省指定品目
2011,食肉,ミンチ肉（鶏）,腸管出血性大腸菌,O111,159,-,厚生労働省指定品目
2011,食肉,ミンチ肉（鶏）,腸管出血性大腸菌,O157,159,-,厚生労働省指定品目
2011,食肉,ミンチ肉（鶏）,腸管出血性大腸菌,O26,159,-,厚生労働省指定品目
2011,食肉,ローストビーフ,E.coli,-,108,3,厚生労働省指定品目
2011,食肉,ローストビーフ,カンピロバクター,-,108,-,厚生労働省指定品目
2011,食肉,ローストビーフ,サルモネラ属菌,-,108,-,厚生労働省指定品目
2011,食肉,ローストビーフ,腸管出血性大腸菌,O111,108,-,厚生労働省指定品目
2011,食肉,ローストビーフ,腸管出血性大腸菌,O157,108,-,厚生労働省指定品目
2011,食肉,ローストビーフ,腸管出血性大腸菌,O26,108,-,厚生労働省指定品目
2011,食肉,牛たたき,E.coli,-,13,3,厚生労働省指定品目
2011,食肉,牛たたき,カンピロバクター,-,13,-,厚生労働省指定品目
2011,食肉,牛たたき,サルモネラ属菌,-,13,-,厚生労働省指定品目
2011,食肉,牛たたき,腸管出血性大腸菌,O111,13,-,厚生労働省指定品目
2011,食肉,牛たたき,腸管出血性大腸菌,O157,13,-,厚生労働省指定品目
2011,食肉,牛たたき,腸管出血性大腸菌,O26,13,-,厚生労働省指定品目
2011,食肉,牛レバー（加熱加工用）,E.coli,-,225,159,厚生労働省指定品目
2011,食肉,牛レバー（加熱加工用）,カンピロバクター,-,225,34,厚生労働省指定品目
2011,食肉,牛レバー（加熱加工用）,サルモネラ属菌,-,225,2,厚生労働省指定品目
2011,食肉,牛レバー（加熱加工用）,腸管出血性大腸菌,O111,225,-,厚生労働省指定品目
2011,食肉,牛レバー（加熱加工用）,腸管出血性大腸菌,O157,225,-,厚生労働省指定品目
2011,食肉,牛レバー（加熱加工用）,腸管出血性大腸菌,O26,225,-,厚生労働省指定品目
2011,食肉,牛レバー（生食用）,E.coli,-,0,-,厚生労働省指定品目
2011,食肉,牛レバー（生食用）,カンピロバクター,-,0,-,厚生労働省指定品目
2011,食肉,牛レバー（生食用）,サルモネラ属菌,-,0,-,厚生労働省指定品目
2011,食肉,牛レバー（生食用）,腸管出血性大腸菌,O111,0,-,厚生労働省指定品目
2011,食肉,牛レバー（生食用）,腸管出血性大腸菌,O157,0,-,厚生労働省指定品目
2011,食肉,牛レバー（生食用）,腸管出血性大腸菌,O26,0,-,厚生労働省指定品目
2011,食肉,牛結着肉,E.coli,-,198,145,厚生労働省指定品目
2011,食肉,牛結着肉,カンピロバクター,-,198,-,厚生労働省指定品目
2011,食肉,牛結着肉,サルモネラ属菌,-,198,-,厚生労働省指定品目
2011,食肉,牛結着肉,腸管出血性大腸菌,O111,198,-,厚生労働省指定品目
2011,食肉,牛結着肉,腸管出血性大腸菌,O157,198,-,厚生労働省指定品目
2011,食肉,牛結着肉,腸管出血性大腸菌,O26,198,-,厚生労働省指定品目
2011,食肉,牛肉,E.coli,-,12,7,実施自治体*1選定品目
2011,食肉,牛肉,カンピロバクター,-,12,-,実施自治体*1選定品目
2011,食肉,牛肉,サルモネラ属菌,-,12,-,実施自治体*1選定品目
2011,食肉,牛肉,腸管出血性大腸菌,O111,12,-,実施自治体*1選定品目
2011,食肉,牛肉,腸管出血性大腸菌,O157,12,-,実施自治体*1選定品目
2011,食肉,牛肉,腸管出血性大腸菌,O26,12,-,実施自治体*1選定品目
2011,食肉,馬刺,E.coli,-,78,8,厚生労働省指定品目
2011,食肉,馬刺,カンピロバクター,-,78,-,厚生労働省指定品目
2011,食肉,馬刺,サルモネラ属菌,-,78,-,厚生労働省指定品目
2011,食肉,馬刺,腸管出血性大腸菌,O111,78,-,厚生労働省指定品目
2011,食肉,馬刺,腸管出血性大腸菌,O157,78,-,厚生労働省指定品目
2011,食肉,馬刺,腸管出血性大腸菌,O26,78,-,厚生労働省指定品目
2011,食肉,鶏たたき,E.coli,-,33,29,厚生労働省指定品目
2011,食肉,鶏たたき,カンピロバクター,-,33,4,厚生労働省指定品目
2011,食肉,鶏たたき,サルモネラ属菌,-,33,1,厚生労働省指定品目
2011,食肉,鶏たたき,腸管出血性大腸菌,O111,33,-,厚生労働省指定品目
2011,食肉,鶏たたき,腸管出血性大腸菌,O157,33,-,厚生労働省指定品目
2011,食肉,鶏たたき,腸管出血性大腸菌,O26,33,-,厚生労働省指定品目
2011,食肉,鶏肉,E.coli,-,34,32,実施自治体*1選定品目
2011,食肉,鶏肉,カンピロバクター,-,34,11,実施自治体*1選定品目
2011,食肉,鶏肉,サルモネラ属菌,-,34,17,実施自治体*1選定品目
2011,食肉,鶏肉,腸管出血性大腸菌,O111,34,-,実施自治体*1選定品目
2011,食肉,鶏肉,腸管出血性大腸菌,O157,34,-,実施自治体*1選定品目
2011,食肉,鶏肉,腸管出血性大腸菌,O26,34,-,実施自治体*1選定品目
2012,加工品,漬物,E.coli,-,314,35,厚生労働省指定品目
2012,加工品,漬物,カンピロバクター,-,0,-,厚生労働省指定品目
2012,加工品,漬物,サルモネラ属菌,-,314,0,厚生労働省指定品目
2012,加工品,漬物,腸管出血性大腸菌,O111,314,0,厚生労働省指定品目
2012,加工品,漬物,腸管出血性大腸菌,O157,314,0,厚生労働省指定品目
2012,加工品,漬物,腸管出血性大腸菌,O26,314,0,厚生労働省指定品目
2012,野菜,その他*1の生食用野菜,E.coli,-,115,8,厚生労働省指定品目
2012,野菜,その他*1の生食用野菜,カンピロバクター,-,0,-,厚生労働省指定品目
2012,野菜,その他*1の生食用野菜,サルモネラ属菌,-,115,0,厚生労働省指定品目
2012,野菜,その他*1の生食用野菜,腸管出血性大腸菌,O111,115,0,厚生労働省指定品目
2012,野菜,その他*1の生食用野菜,腸管出血性大腸菌,O157,115,0,厚生労働省指定品目
2012,野菜,その他*1の生食用野菜,腸管出血性大腸菌,O26,115,0,厚生労働省指定品目
2012,野菜,みつば,E.coli,-,35,13,厚生労働省指定品目
2012,野菜,みつば,カンピロバクター,-,0,-,厚生労働省指定品目
2012,野菜,みつば,サルモネラ属菌,-,35,1,厚生労働省指定品目
2012,野菜,みつば,腸管出血性大腸菌,O111,35,0,厚生労働省指定品目
2012,野菜,みつば,腸管出血性大腸菌,O157,35,0,厚生労働省指定品目
2012,野菜,みつば,腸管出血性大腸菌,O26,35,0,厚生労働省指定品目
2012,野菜,もやし,E.coli,-,109,48,厚生労働省指定品目
2012,野菜,もやし,カンピロバクター,-,0,-,厚生労働省指定品目
2012,野菜,もやし,サルモネラ属菌,-,109,0,厚生労働省指定品目
2012,野菜,もやし,腸管出血性大腸菌,O111,109,0,厚生労働省指定品目
2012,野菜,もやし,腸管出血性大腸菌,O157,109,0,厚生労働省指定品目
2012,野菜,もやし,腸管出血性大腸菌,O26,109,0,厚生労働省指定品目
2012,野菜,アルファルファ,E.coli,-,12,4,厚生労働省指定品目
2012,野菜,アルファルファ,カンピロバクター,-,0,-,厚生労働省指定品目
2012,野菜,アルファルファ,サルモネラ属菌,-,12,0,厚生労働省指定品目
2012,野菜,アルファルファ,腸管出血性大腸菌,O111,12,0,厚生労働省指定品目
2012,野菜,アルファルファ,腸管出血性大腸菌,O157,12,0,厚生労働省指定品目
2012,野菜,アルファルファ,腸管出血性大腸菌,O26,12,0,厚生労働省指定品目
2012,野菜,カイワレ,E.coli,-,68,10,厚生労働省指定品目
2012,野菜,カイワレ,カンピロバクター,-,0,-,厚生労働省指定品目
2012,野菜,カイワレ,サルモネラ属菌,-,68,1,厚生労働省指定品目
2012,野菜,カイワレ,腸管出血性大腸菌,O111,68,0,厚生労働省指定品目
2012,野菜,カイワレ,腸管出血性大腸菌,O157,68,0,厚生労働省指定品目
2012,野菜,カイワレ,腸管出血性大腸菌,O26,68,0,厚生労働省指定品目
2012,野菜,カット野菜,E.coli,-,160,12,厚生労働省指定品目
2012,野菜,カット野菜,カンピロバクター,-,0,-,厚生労働省指定品目
2012,野菜,カット野菜,サルモネラ属菌,-,160,0,厚生労働省指定品目
2012,野菜,カット野菜,腸管出血性大腸菌,O111,160,0,厚生労働省指定品目
2012,野菜,カット野菜,腸管出血性大腸菌,O157,160,0,厚生労働省指定品目
2012,野菜,カット野菜,腸管出血性大腸菌,O26,160,0,厚生労働省指定品目
2012,野菜,キュウリ,E.coli,-,84,7,厚生労働省指定品目
2012,野菜,キュウリ,カンピロバクター,-,0,-,厚生労働省指定品目
2012,野菜,キュウリ,サルモネラ属菌,-,84,0,厚生労働省指定品目
2012,野菜,キュウリ,腸管出血性大腸菌,O111,84,0,厚生労働省指定品目
2012,野菜,キュウリ,腸管出血性大腸菌,O157,84,0,厚生労働省指定品目
2012,野菜,キュウリ,腸管出血性大腸菌,O26,84,0,厚生労働省指定品目
2012,野菜,サラダ菜,E.coli,-,11,1,厚生労働省指定品目
2012,野菜,サラダ菜,カンピロバクター,-,0,-,厚生労働省指定品目
2012,野菜,サラダ菜,サルモネラ属菌,-,11,0,厚生労働省指定品目
2012,野菜,サラダ菜,腸管出血性大腸菌,O111,11,0,厚生労働省指定品目
2012,野菜,サラダ菜,腸管出血性大腸菌,O157,11,0,厚生労働省指定品目
2012,野菜,サラダ菜,腸管出血性大腸菌,O26,11,0,厚生労働省指定品目
2012,野菜,トマト,E.coli,-,91,0,厚生労働省指定品目
2012,野菜,トマト,カンピロバクター,-,0,-,厚生労働省指定品目
2012,野菜,トマト,サルモネラ属菌,-,91,0,厚生労働省指定品目
2012,野菜,トマト,腸管出血性大腸菌,O111,91,0,厚生労働省指定品目
2012,野菜,トマト,腸管出血性大腸菌,O157,91,0,厚生労働省指定品目
2012,野菜,トマト,腸管出血性大腸菌,O26,91,0,厚生労働省指定品目
2012,野菜,レタス,E.coli,-,100,5,厚生労働省指定品目
2012,野菜,レタス,カンピロバクター,-,0,-,厚生労働省指定品目
2012,野菜,レタス,サルモネラ属菌,-,100,0,厚生労働省指定品目
2012,野菜,レタス,腸管出血性大腸菌,O111,100,0,厚生労働省指定品目
2012,野菜,レタス,腸管出血性大腸菌,O157,100,0,厚生労働省指定品目
2012,野菜,レタス,腸管出血性大腸菌,O26,100,0,厚生労働省指定品目
2012,野菜,大根,E.coli,-,11,3,厚生労働省指定品目
2012,野菜,大根,カンピロバクター,-,0,-,厚生労働省指定品目
2012,野菜,大根,サルモネラ属菌,-,11,0,厚生労働省指定品目
2012,野菜,大根,腸管出血性大腸菌,O111,11,0,厚生労働省指定品目
2012,野菜,大根,腸管出血性大腸菌,O157,11,0,厚生労働省指定品目
2012,野菜,大根,腸管出血性大腸菌,O26,11,0,厚生労働省指定品目
2012,野菜,水菜,E.coli,-,16,3,厚生労働省指定品目
2012,野菜,水菜,カンピロバクター,-,0,-,厚生労働省指定品目
2012,野菜,水菜,サルモネラ属菌,-,16,0,厚生労働省指定品目
2012,野菜,水菜,腸管出血性大腸菌,O111,16,0,厚生労働省指定品目
2012,野菜,水菜,腸管出血性大腸菌,O157,16,0,厚生労働省指定品目
2012,野菜,水菜,腸管出血性大腸菌,O26,16,0,厚生労働省指定品目
2012,野菜,漬け物野菜,E.coli,-,184,14,厚生労働省指定品目
2012,野菜,漬け物野菜,カンピロバクター,-,0,-,厚生労働省指定品目
2012,野菜,漬け物野菜,サルモネラ属菌,-,184,0,厚生労働省指定品目
2012,野菜,漬け物野菜,腸管出血性大腸菌,O111,184,0,厚生労働省指定品目
2012,野菜,漬け物野菜,腸管出血性大腸菌,O157,184,0,厚生労働省指定品目
2012,野菜,漬け物野菜,腸管出血性大腸菌,O26,184,0,厚生労働省指定品目
2012,野菜,豆苗,E.coli,-,10,0,厚生労働省指定品目
2012,野菜,豆苗,カンピロバクター,-,0,-,厚生労働省指定品目
2012,野菜,豆苗,サルモネラ属菌,-,10,0,厚生労働省指定品目
2012,野菜,豆苗,腸管出血性大腸菌,O111,10,0,厚生労働省指定品目
2012,野菜,豆苗,腸管出血性大腸菌,O157,10,0,厚生労働省指定品目
2012,野菜,豆苗,腸管出血性大腸菌,O26,10,0,厚生労働省指定品目
2012,食肉,カットステーキ肉,E.coli,-,58,34,厚生労働省指定品目
2012,食肉,カットステーキ肉,カンピロバクター,-,2,0,厚生労働省指定品目
2012,食肉,カットステーキ肉,サルモネラ属菌,-,58,0,厚生労働省指定品目
2012,食肉,カットステーキ肉,腸管出血性大腸菌,O111,58,0,厚生労働省指定品目
2012,食肉,カットステーキ肉,腸管出血性大腸菌,O157,58,0,厚生労働省指定品目
2012,食肉,カットステーキ肉,腸管出血性大腸菌,O26,58,0,厚生労働省指定品目
2012,食肉,ミンチ肉（牛豚混合）,E.coli,-,100,69,厚生労働省指定品目
2012,食肉,ミンチ肉（牛豚混合）,カンピロバクター,-,9,0,厚生労働省指定品目
2012,食肉,ミンチ肉（牛豚混合）,サルモネラ属菌,-,100,1,厚生労働省指定品目
2012,食肉,ミンチ肉（牛豚混合）,腸管出血性大腸菌,O111,100,0,厚生労働省指定品目
2012,食肉,ミンチ肉（牛豚混合）,腸管出血性大腸菌,O157,100,0,厚生労働省指定品目
2012,食肉,ミンチ肉（牛豚混合）,腸管出血性大腸菌,O26,100,0,厚生労働省指定品目
2012,食肉,ミンチ肉（牛）,E.coli,-,99,58,厚生労働省指定品目
2012,食肉,ミンチ肉（牛）,カンピロバクター,-,10,0,厚生労働省指定品目
2012,食肉,ミンチ肉（牛）,サルモネラ属菌,-,99,1,厚生労働省指定品目
2012,食肉,ミンチ肉（牛）,腸管出血性大腸菌,O111,99,0,厚生労働省指定品目
2012,食肉,ミンチ肉（牛）,腸管出血性大腸菌,O157,99,0,厚生労働省指定品目
2012,食肉,ミンチ肉（牛）,腸管出血性大腸菌,O26,99,0,厚生労働省指定品目
2012,食肉,ミンチ肉（豚）,E.coli,-,136,94,厚生労働省指定品目
2012,食肉,ミンチ肉（豚）,カンピロバクター,-,10,0,厚生労働省指定品目
2012,食肉,ミンチ肉（豚）,サルモネラ属菌,-,136,4,厚生労働省指定品目
2012,食肉,ミンチ肉（豚）,腸管出血性大腸菌,O111,136,0,厚生労働省指定品目
2012,食肉,ミンチ肉（豚）,腸管出血性大腸菌,O157,136,0,厚生労働省指定品目
2012,食肉,ミンチ肉（豚）,腸管出血性大腸菌,O26,136,0,厚生労働省指定品目
2012,食肉,ミンチ肉（鶏）,E.coli,-,217,177,厚生労働省指定品目
2012,食肉,ミンチ肉（鶏）,カンピロバクター,-,210,76,厚生労働省指定品目
2012,食肉,ミンチ肉（鶏）,サルモネラ属菌,-,217,104,厚生労働省指定品目
2012,食肉,ミンチ肉（鶏）,腸管出血性大腸菌,O111,217,0,厚生労働省指定品目
2012,食肉,ミンチ肉（鶏）,腸管出血性大腸菌,O157,217,0,厚生労働省指定品目
2012,食肉,ミンチ肉（鶏）,腸管出血性大腸菌,O26,217,0,厚生労働省指定品目
2012,食肉,ローストビーフ,E.coli,-,100,1,厚生労働省指定品目
2012,食肉,ローストビーフ,カンピロバクター,-,1,0,厚生労働省指定品目
2012,食肉,ローストビーフ,サルモネラ属菌,-,100,0,厚生労働省指定品目
2012,食肉,ローストビーフ,腸管出血性大腸菌,O111,100,0,厚生労働省指定品目
2012,食肉,ローストビーフ,腸管出血性大腸菌,O157,100,0,厚生労働省指定品目
2012,食肉,ローストビーフ,腸管出血性大腸菌,O26,100,0,厚生労働省指定品目
2012,食肉,中心部まで十分加熱されない食肉（牛）*2,E.coli,-,2,1,厚生労働省指定品目
2012,食肉,中心部まで十分加熱されない食肉（牛）*2,カンピロバクター,-,0,-,厚生労働省指定品目
2012,食肉,中心部まで十分加熱されない食肉（牛）*2,サルモネラ属菌,-,2,0,厚生労働省指定品目
2012,食肉,中心部まで十分加熱されない食肉（牛）*2,腸管出血性大腸菌,O111,2,0,厚生労働省指定品目
2012,食肉,中心部まで十分加熱されない食肉（牛）*2,腸管出血性大腸菌,O157,2,0,厚生労働省指定品目
2012,食肉,中心部まで十分加熱されない食肉（牛）*2,腸管出血性大腸菌,O26,2,0,厚生労働省指定品目
2012,食肉,中心部まで十分加熱されない食肉（鶏）*2,E.coli,-,25,23,厚生労働省指定品目
2012,食肉,中心部まで十分加熱されない食肉（鶏）*2,カンピロバクター,-,25,3,厚生労働省指定品目
2012,食肉,中心部まで十分加熱されない食肉（鶏）*2,サルモネラ属菌,-,25,2,厚生労働省指定品目
2012,食肉,中心部まで十分加熱されない食肉（鶏）*2,腸管出血性大腸菌,O111,25,0,厚生労働省指定品目
2012,食肉,中心部まで十分加熱されない食肉（鶏）*2,腸管出血性大腸菌,O157,25,0,厚生労働省指定品目
2012,食肉,中心部まで十分加熱されない食肉（鶏）*2,腸管出血性大腸菌,O26,25,0,厚生労働省指定品目
2012,食肉,牛レバー（加熱加工用）,E.coli,-,233,172,厚生労働省指定品目
2012,食肉,牛レバー（加熱加工用）,カンピロバクター,-,229,37,厚生労働省指定品目
2012,食肉,牛レバー（加熱加工用）,サルモネラ属菌,-,233,4,厚生労働省指定品目
2012,食肉,牛レバー（加熱加工用）,腸管出血性大腸菌,O111,233,0,厚生労働省指定品目
2012,食肉,牛レバー（加熱加工用）,腸管出血性大腸菌,O157,233,0,厚生労働省指定品目
2012,食肉,牛レバー（加熱加工用）,腸管出血性大腸菌,O26,233,1,厚生労働省指定品目
2012,食肉,牛結着肉,E.coli,-,203,146,厚生労働省指定品目
2012,食肉,牛結着肉,カンピロバクター,-,5,0,厚生労働省指定品目
2012,食肉,牛結着肉,サルモネラ属菌,-,203,0,厚生労働省指定品目
2012,食肉,牛結着肉,腸管出血性大腸菌,O111,203,0,厚生労働省指定品目
2012,食肉,牛結着肉,腸管出血性大腸菌,O157,203,0,厚生労働省指定品目
2012,食肉,牛結着肉,腸管出血性大腸菌,O26,203,0,厚生労働省指定品目
2012,食肉,生食用の食肉（牛）,E.coli,-,3,0,厚生労働省指定品目
2012,食肉,生食用の食肉（牛）,カンピロバクター,-,0,-,厚生労働省指定品目
2012,食肉,生食用の食肉（牛）,サルモネラ属菌,-,3,0,厚生労働省指定品目
2012,食肉,生食用の食肉（牛）,腸管出血性大腸菌,O111,3,0,厚生労働省指定品目
2012,食肉,生食用の食肉（牛）,腸管出血性大腸菌,O157,3,0,厚生労働省指定品目
2012,食肉,生食用の食肉（牛）,腸管出血性大腸菌,O26,3,0,厚生労働省指定品目
2012,食肉,生食用の食肉（馬）,E.coli,-,83,16,厚生労働省指定品目
2012,食肉,生食用の食肉（馬）,カンピロバクター,-,7,0,厚生労働省指定品目
2012,食肉,生食用の食肉（馬）,サルモネラ属菌,-,83,0,厚生労働省指定品目
2012,食肉,生食用の食肉（馬）,腸管出血性大腸菌,O111,83,0,厚生労働省指定品目
2012,食肉,生食用の食肉（馬）,腸管出血性大腸菌,O157,83,0,厚生労働省指定品目
2012,食肉,生食用の食肉（馬）,腸管出血性大腸菌,O26,83,0,厚生労働省指定品目
2012,食肉,生食用の食肉（鶏）,E.coli,-,8,7,厚生労働省指定品目
2012,食肉,生食用の食肉（鶏）,カンピロバクター,-,8,2,厚生労働省指定品目
2012,食肉,生食用の食肉（鶏）,サルモネラ属菌,-,8,1,厚生労働省指定品目
2012,食肉,生食用の食肉（鶏）,腸管出血性大腸菌,O111,8,0,厚生労働省指定品目
2012,食肉,生食用の食肉（鶏）,腸管出血性大腸菌,O157,8,0,厚生労働省指定品目
2012,食肉,生食用の食肉（鶏）,腸管出血性大腸菌,O26,8,0,厚生労働省指定品目
2012,食肉,その他の加工用食肉等*3,E.coli,-,11,9,実施自治体選定品目
2012,食肉,その他の加工用食肉等*3,カンピロバクター,-,9,3,実施自治体選定品目
2012,食肉,その他の加工用食肉等*3,サルモネラ属菌,-,11,6,実施自治体選定品目
2012,食肉,その他の加工用食肉等*3,腸管出血性大腸菌,O111,11,0,実施自治体選定品目
2012,食肉,その他の加工用食肉等*3,腸管出血性大腸菌,O157,11,0,実施自治体選定品目
2012,食肉,その他の加工用食肉等*3,腸管出血性大腸菌,O26,11,0,実施自治体選定品目
2012,食肉,牛肉,E.coli,-,35,1,実施自治体選定品目
2012,食肉,牛肉,カンピロバクター,-,23,0,実施自治体選定品目
2012,食肉,牛肉,サルモネラ属菌,-,35,0,実施自治体選定品目
2012,食肉,牛肉,腸管出血性大腸菌,O111,35,0,実施自治体選定品目
2012,食肉,牛肉,腸管出血性大腸菌,O157,35,0,実施自治体選定品目
2012,食肉,牛肉,腸管出血性大腸菌,O26,35,0,実施自治体選定品目
2012,食肉,豚肉,E.coli,-,42,2,実施自治体選定品目
2012,食肉,豚肉,カンピロバクター,-,40,0,実施自治体選定品目
2012,食肉,豚肉,サルモネラ属菌,-,42,0,実施自治体選定品目
2012,食肉,豚肉,腸管出血性大腸菌,O111,42,0,実施自治体選定品目
2012,食肉,豚肉,腸管出血性大腸菌,O157,42,0,実施自治体選定品目
2012,食肉,豚肉,腸管出血性大腸菌,O26,42,0,実施自治体選定品目
2012,食肉,食肉加工品*4,E.coli,-,3,1,実施自治体選定品目
