調査年,食品取扱区分,食品カテゴリ,食品名,食品詳細,検査方法,細菌名,汚染濃度,単位,実施機関,調査名,source URL,閲覧日,備考
2001~2003,Ready-to-eat,水産物,魚卵加工品,明太子,MPN,"Listeria monocytogenes, Listeria innocua",<30,MPN/100g,東京都健康安全研究センター,加工食品のリステリア菌汚染に関する衛生学的実態調査,"食品衛生研究 54 (6), 2004, p. 53~57 (Web上に公開なし、国立国会図書館に所蔵)",,
2001~2003,Ready-to-eat,水産物,魚卵加工品,明太子,MPN,"Listeria monocytogenes, Listeria innocua",<30,MPN/100g,東京都健康安全研究センター,加工食品のリステリア菌汚染に関する衛生学的実態調査,"食品衛生研究 54 (6), 2004, p. 53~57 (Web上に公開なし、国立国会図書館に所蔵)",,
2001~2003,Ready-to-eat,水産物,魚卵加工品,明太子,MPN,"Listeria monocytogenes, Listeria innocua",<30,MPN/100g,東京都健康安全研究センター,加工食品のリステリア菌汚染に関する衛生学的実態調査,"食品衛生研究 54 (6), 2004, p. 53~57 (Web上に公開なし、国立国会図書館に所蔵)",,
2001~2003,Ready-to-eat,水産物,魚卵加工品,明太子,定性検査,Listeria monocytogenes,Not detected,MPN/100g,東京都健康安全研究センター,加工食品のリステリア菌汚染に関する衛生学的実態調査,"食品衛生研究 54 (6), 2004, p. 53~57 (Web上に公開なし、国立国会図書館に所蔵)",,
2001~2003,Ready-to-eat,農産物,漬け物,,MPN,Listeria monocytogenes,<30,MPN/100g,東京都健康安全研究センター,加工食品のリステリア菌汚染に関する衛生学的実態調査,"食品衛生研究 54 (6), 2004, p. 53~57 (Web上に公開なし、国立国会図書館に所蔵)",,
2001~2003,Ready-to-eat,農産物,漬け物,,MPN,Listeria monocytogenes,<30,MPN/100g,東京都健康安全研究センター,加工食品のリステリア菌汚染に関する衛生学的実態調査,"食品衛生研究 54 (6), 2004, p. 53~57 (Web上に公開なし、国立国会図書館に所蔵)",,
2001~2003,Ready-to-eat,農産物,漬け物,,定性検査,Listeria monocytogenes,Not detected,MPN/100g,東京都健康安全研究センター,加工食品のリステリア菌汚染に関する衛生学的実態調査,"食品衛生研究 54 (6), 2004, p. 53~57 (Web上に公開なし、国立国会図書館に所蔵)",,
2001~2003,Ready-to-eat,水産物,その他の水産加工品,魚介生珍味,MPN,Listeria monocytogenes,<30,MPN/100g,東京都健康安全研究センター,加工食品のリステリア菌汚染に関する衛生学的実態調査,"食品衛生研究 54 (6), 2004, p. 53~57 (Web上に公開なし、国立国会図書館に所蔵)",,
2001~2003,Ready-to-eat,水産物,その他の水産加工品,魚介生珍味,MPN,Listeria monocytogenes,150,MPN/100g,東京都健康安全研究センター,加工食品のリステリア菌汚染に関する衛生学的実態調査,"食品衛生研究 54 (6), 2004, p. 53~57 (Web上に公開なし、国立国会図書館に所蔵)",,
2001~2003,Ready-to-eat,水産物,その他の水産加工品,魚介生珍味,MPN,Listeria monocytogenes,<30,MPN/100g,東京都健康安全研究センター,加工食品のリステリア菌汚染に関する衛生学的実態調査,"食品衛生研究 54 (6), 2004, p. 53~57 (Web上に公開なし、国立国会図書館に所蔵)",,
2001~2003,Ready-to-eat,水産物,その他の水産加工品,魚介生珍味,MPN,"Listeria monocytogenes, Listeria seeligeri",<30,MPN/100g,東京都健康安全研究センター,加工食品のリステリア菌汚染に関する衛生学的実態調査,"食品衛生研究 54 (6), 2004, p. 53~57 (Web上に公開なし、国立国会図書館に所蔵)",,
2001~2003,Ready-to-eat,水産物,その他の水産加工品,魚介生珍味,定性検査,Listeria monocytogenes,Not detected,MPN/100g,東京都健康安全研究センター,加工食品のリステリア菌汚染に関する衛生学的実態調査,"食品衛生研究 54 (6), 2004, p. 53~57 (Web上に公開なし、国立国会図書館に所蔵)",,
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,食材,鶏肉,中抜きと体,,plate_count,Campylobacter jejuni/coli,5.00E+02,CFU/と体,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,value: 平均値; 問い合わせ: 要; other: カンピロバクター陽性の鶏群に対する平均菌数
2014,食材,鶏肉,中抜きと体,,plate_count,Campylobacter jejuni/coli,<500,CFU/と体,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
2014,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.0E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/keiniku_cam_13.html,,other: カンピロバクター陰性の鶏群だがと体から陽性検出されたサンプルの菌数
