Year,Food Handling Classification,Food Category,Food Name,Food details,Method,Organism,Concentration,Unit,Agency,Survey,Source URL,Access Date,Remarks
2020~2021,Ingredients,Chicken,Other processed chicken products,Chilled,MPN,Salmonella spp.,<7.5,MPN/25g,National Institute of Health Sciences,鶏肉加工製品におけるサルモネラ等の定量汚染の調査,https://mhlw-grants.niph.go.jp/system/files/report_pdf/202024029A-buntan3.pdf,,検査方法_詳細: MPN法(3本法); organism_details: 血清型O7; other: 血清型ごとの分離菌株数の情報あり;食品詳細:冷蔵
2020~2021,Ingredients,Chicken,Other processed chicken products,Chilled,MPN,Salmonella spp.,<7.5,MPN/25g,National Institute of Health Sciences,鶏肉加工製品におけるサルモネラ等の定量汚染の調査,https://mhlw-grants.niph.go.jp/system/files/report_pdf/202024029A-buntan3.pdf,,検査方法_詳細: MPN法(3本法); organism_details: 血清型O7; other: 血清型ごとの分離菌株数の情報あり;食品詳細:冷蔵
2003,Non-edible Parts,Beef,Gut content,第一胃内容物,MPN,Escherichia coli O157,44.4,CFU/g,"Meat Inspection Center, Osaka City",Prevalence and Drug-susceptibility of Enterohemorrhagic Escherichia coli O157 in Cattle during the Summer,https://agriknowledge.affrc.go.jp/RN/2010720847.pdf,,value: 平均値; 問い合わせ: 要;食品詳細:直腸便
2019,Ingredients,Chicken,Other processed chicken products,Chilled,MPN,Salmonella spp.,23,MPN/25g,National Institute of Health Sciences,鶏肉加工製品におけるサルモネラ等の汚染実態に関する研究,https://mhlw-grants.niph.go.jp/system/files/2019/193031/201924021A_upload/201924021A0006.pdf,,"検査方法_詳細: サルモネラ属菌標準試験法をMPN3本法による定量検査に応用; other: 定性検査で陽性だった検体を定量, 生データにより細かい対応が見れそう;食品詳細:冷蔵"
2019,Ingredients,Chicken,Other processed chicken products,Chilled,MPN,Salmonella spp.,23,MPN/25g,National Institute of Health Sciences,鶏肉加工製品におけるサルモネラ等の汚染実態に関する研究,https://mhlw-grants.niph.go.jp/system/files/2019/193031/201924021A_upload/201924021A0006.pdf,,"検査方法_詳細: サルモネラ属菌標準試験法をMPN3本法による定量検査に応用; other: 定性検査で陽性だった検体を定量, 生データにより細かい対応が見れそう;食品詳細:冷蔵"
2019,Ingredients,Chicken,Other processed chicken products,Chilled,MPN,Salmonella spp.,9,MPN/25g,National Institute of Health Sciences,鶏肉加工製品におけるサルモネラ等の汚染実態に関する研究,https://mhlw-grants.niph.go.jp/system/files/2019/193031/201924021A_upload/201924021A0006.pdf,,"検査方法_詳細: サルモネラ属菌標準試験法をMPN3本法による定量検査に応用; other: 定性検査で陽性だった検体を定量, 生データにより細かい対応が見れそう;食品詳細:冷蔵"
2019,Ingredients,Chicken,Other processed chicken products,Chilled,MPN,Salmonella spp.,9,MPN/25g,National Institute of Health Sciences,鶏肉加工製品におけるサルモネラ等の汚染実態に関する研究,https://mhlw-grants.niph.go.jp/system/files/2019/193031/201924021A_upload/201924021A0006.pdf,,"検査方法_詳細: サルモネラ属菌標準試験法をMPN3本法による定量検査に応用; other: 定性検査で陽性だった検体を定量, 生データにより細かい対応が見れそう;食品詳細:冷蔵"
2019,Ingredients,Chicken,Other processed chicken products,Chilled,MPN,Salmonella spp.,9,MPN/25g,National Institute of Health Sciences,鶏肉加工製品におけるサルモネラ等の汚染実態に関する研究,https://mhlw-grants.niph.go.jp/system/files/2019/193031/201924021A_upload/201924021A0006.pdf,,"検査方法_詳細: サルモネラ属菌標準試験法をMPN3本法による定量検査に応用; other: 定性検査で陽性だった検体を定量, 生データにより細かい対応が見れそう;食品詳細:冷蔵"
2019,Ingredients,Chicken,Other processed chicken products,Chilled,MPN,Salmonella spp.,<7.5,MPN/25g,National Institute of Health Sciences,鶏肉加工製品におけるサルモネラ等の汚染実態に関する研究,https://mhlw-grants.niph.go.jp/system/files/2019/193031/201924021A_upload/201924021A0006.pdf,,"検査方法_詳細: サルモネラ属菌標準試験法をMPN3本法による定量検査に応用; other: 定性検査で陽性だった検体を定量, 生データにより細かい対応が見れそう;食品詳細:冷蔵"
2019,Ingredients,Chicken,Other processed chicken products,Chilled,MPN,Salmonella spp.,<7.5,MPN/25g,National Institute of Health Sciences,鶏肉加工製品におけるサルモネラ等の汚染実態に関する研究,https://mhlw-grants.niph.go.jp/system/files/2019/193031/201924021A_upload/201924021A0006.pdf,,"検査方法_詳細: サルモネラ属菌標準試験法をMPN3本法による定量検査に応用; other: 定性検査で陽性だった検体を定量, 生データにより細かい対応が見れそう;食品詳細:冷蔵"
2019,Ingredients,Chicken,Other processed chicken products,Chilled,MPN,Salmonella spp.,<7.5,MPN/25g,National Institute of Health Sciences,鶏肉加工製品におけるサルモネラ等の汚染実態に関する研究,https://mhlw-grants.niph.go.jp/system/files/2019/193031/201924021A_upload/201924021A0006.pdf,,"検査方法_詳細: サルモネラ属菌標準試験法をMPN3本法による定量検査に応用; other: 定性検査で陽性だった検体を定量, 生データにより細かい対応が見れそう;食品詳細:冷蔵"
2000~2012,Ready-to-Eat (RTE),"Milk, other or unknown types of dairy",Natural cheese,Natural cheese,MPN,Listeria monocytogenes,<0.3,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),"Milk, other or unknown types of dairy",Natural cheese,Natural cheese,MPN,Listeria monocytogenes,1.6,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,食品詳細:セミソフト(フランス産)
2000~2012,Ready-to-Eat (RTE),Other or unknown types of meat,Other raw meat for raw consumption,"ユッケ用牛肉, 馬刺し",MPN,Listeria monocytogenes,<0.3,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Other or unknown types of meat,Other raw meat for raw consumption,"ユッケ用牛肉, 馬刺し",MPN,Listeria monocytogenes,<0.3,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Other or unknown types of meat,Other raw meat for raw consumption,"ユッケ用牛肉, 馬刺し",MPN,Listeria monocytogenes,<0.3,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Other or unknown types of meat,Other non-heat-treated meat products,"生ハム, セミドライソーセージ, 生ベーコンなど",MPN,Listeria monocytogenes,<0.3,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Other or unknown types of meat,Other non-heat-treated meat products,"生ハム, セミドライソーセージ, 生ベーコンなど",MPN,Listeria monocytogenes,<0.3,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Other or unknown types of meat,Other non-heat-treated meat products,"生ハム, セミドライソーセージ, 生ベーコンなど",MPN,Listeria monocytogenes,<0.3,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Other or unknown types of meat,Other non-heat-treated meat products,"生ハム, セミドライソーセージ, 生ベーコンなど",MPN,Listeria monocytogenes,<0.3,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Other or unknown types of meat,Other non-heat-treated meat products,"生ハム, セミドライソーセージ, 生ベーコンなど",MPN,Listeria monocytogenes,<0.3,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Other or unknown types of meat,Other non-heat-treated meat products,"生ハム, セミドライソーセージ, 生ベーコンなど",MPN,Listeria monocytogenes,<0.3,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Other or unknown types of meat,Other non-heat-treated meat products,"生ハム, セミドライソーセージ, 生ベーコンなど",MPN,Listeria monocytogenes,<0.3,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Other or unknown types of meat,Other non-heat-treated meat products,"生ハム, セミドライソーセージ, 生ベーコンなど",MPN,Listeria monocytogenes,<0.3,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Other or unknown types of meat,Other non-heat-treated meat products,"生ハム, セミドライソーセージ, 生ベーコンなど",MPN,Listeria monocytogenes,<0.3,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Other or unknown types of meat,Other non-heat-treated meat products,"生ハム, セミドライソーセージ, 生ベーコンなど",MPN,Listeria monocytogenes,<0.3,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Other or unknown types of meat,Other non-heat-treated meat products,"生ハム, セミドライソーセージ, 生ベーコンなど",MPN,Listeria monocytogenes,0.3-1,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Other or unknown types of meat,Other non-heat-treated meat products,"生ハム, セミドライソーセージ, 生ベーコンなど",MPN,Listeria monocytogenes,0.3-1,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Other or unknown types of meat,Other non-heat-treated meat products,"生ハム, セミドライソーセージ, 生ベーコンなど",MPN,Listeria monocytogenes,0.3-1,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Other or unknown types of meat,Other processed meat products,加熱食肉製品(加熱殺菌後包装),MPN,Listeria monocytogenes,<0.3,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Other or unknown types of meat,Other processed meat products,加熱食肉製品(加熱殺菌後包装),MPN,Listeria monocytogenes,<0.3,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Other or unknown types of meat,Other processed meat products,加熱食肉製品(加熱殺菌後包装),MPN,Listeria monocytogenes,<0.3,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Other or unknown types of meat,Other processed meat products,加熱食肉製品(加熱殺菌後包装),MPN,Listeria monocytogenes,0.3-1,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Other or unknown types of meat,Other processed meat products,加熱食肉製品(加熱殺菌後包装),MPN,Listeria monocytogenes,0.3-1,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Other or unknown types of meat,Other processed meat products,加熱食肉製品(加熱殺菌後包装),MPN,Listeria monocytogenes,0.3-1,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Other or unknown types of meat,Other processed meat products,加熱食肉製品(加熱殺菌後包装),MPN,Listeria monocytogenes,0.3-1,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ingredients,Aquatic food product,Seafood,ツナミンチなど,MPN,Listeria monocytogenes,<0.3,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ingredients,Aquatic food product,Seafood,ツナミンチなど,MPN,Listeria monocytogenes,<0.3,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ingredients,Aquatic food product,Seafood,ツナミンチなど,MPN,Listeria monocytogenes,0.3-1,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ingredients,Aquatic food product,Seafood,ツナミンチなど,MPN,Listeria monocytogenes,2.1,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,食品詳細:ツナミンチ
2000~2012,Ingredients,Aquatic food product,Seafood,ツナミンチなど,MPN,Listeria monocytogenes,2.3,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,食品詳細:ツナミンチ
2000~2012,Ready-to-Eat (RTE),Aquatic food product,Roe,,MPN,Listeria monocytogenes,<0.3,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Aquatic food product,Roe,,MPN,Listeria monocytogenes,<0.3,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Aquatic food product,Roe,,MPN,Listeria monocytogenes,<0.3,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Aquatic food product,Roe,,MPN,Listeria monocytogenes,<0.3,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Aquatic food product,Roe,,MPN,Listeria monocytogenes,<0.3,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Aquatic food product,Other processed seafood products,Jellyfish with urchin eggs,MPN,Listeria monocytogenes,<0.3,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Aquatic food product,Other processed seafood products,Jellyfish with urchin eggs,MPN,Listeria monocytogenes,<0.3,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Aquatic food product,Other processed seafood products,Jellyfish with urchin eggs,MPN,Listeria monocytogenes,0.3-1,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Aquatic food product,Other processed seafood products,Jellyfish with urchin eggs,MPN,Listeria monocytogenes,1.5,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,食品詳細:松前漬け
2000~2012,Ready-to-Eat (RTE),Aquatic food product,Dried seafood products,,MPN,Listeria monocytogenes,<0.3,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Aquatic food product,Dried seafood products,,MPN,Listeria monocytogenes,<0.3,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Aquatic food product,Dried seafood products,,MPN,Listeria monocytogenes,<0.3,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Aquatic food product,Dried seafood products,,MPN,Listeria monocytogenes,<0.3,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Vegetable or fruit and their products,Pickled foods,,MPN,Listeria monocytogenes,<0.3,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Vegetable or fruit and their products,Pickled foods,,MPN,Listeria monocytogenes,<0.3,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2000~2012,Ready-to-Eat (RTE),Vegetable or fruit and their products,Pickled foods,,MPN,Listeria monocytogenes,0.3-1,MPN/g,Tokyo Metropolitan Institute of Public Health,"Prevalence and contamination levels of Listeria monocytogenes in ready-to-eat foods in Tokyo, Japan",https://www.jstage.jst.go.jp/article/jvms/78/7/78_15-0708/_pdf/-char/ja,,
2022,Ingredients,Other or unknown types of meat,Sheep meat,Sheep carcass,plate_count,Salmonella spp.,not detected,CFU/cm^2,National Institute of Health Sciences,めん羊枝肉表面の切除法による細菌汚染状況,https://mhlw-grants.niph.go.jp/system/files/report_pdf/7.%20%E5%88%86%E6%8B%85%E7%A0%94%E7%A9%B6%E2%91%A1%20p46-51.pdf,,
2022,Ingredients,Other or unknown types of meat,Sheep meat,Sheep carcass,plate_count,Campylobacter spp.,not detected,CFU/cm^2,National Institute of Health Sciences,めん羊枝肉表面の切除法による細菌汚染状況,https://mhlw-grants.niph.go.jp/system/files/report_pdf/7.%20%E5%88%86%E6%8B%85%E7%A0%94%E7%A9%B6%E2%91%A1%20p46-51.pdf,,
2018,Non-edible Parts,Chicken,Cecal content,,plate_count,Campylobacter spp.,1.10E+04,CFU/g,National Institute of Health Sciences,The incidence of Campylobacter contamination levels through Chicken-Sashimi Processing steps in A Small-scale Poultry processing plant applying the External stripping method,https://www.jstage.jst.go.jp/article/jvms/84/3/84_21-0486/_pdf/-char/ja,,"others: Sample No.1, winter;"
2018,Non-edible Parts,Chicken,Cecal content,,plate_count,Campylobacter spp.,6.60E+04,CFU/g,National Institute of Health Sciences,The incidence of Campylobacter contamination levels through Chicken-Sashimi Processing steps in A Small-scale Poultry processing plant applying the External stripping method,https://www.jstage.jst.go.jp/article/jvms/84/3/84_21-0486/_pdf/-char/ja,,"others: Sample No.2, winter;"
2018,Non-edible Parts,Chicken,Cecal content,,plate_count,Campylobacter spp.,7.00E+02,CFU/g,National Institute of Health Sciences,The incidence of Campylobacter contamination levels through Chicken-Sashimi Processing steps in A Small-scale Poultry processing plant applying the External stripping method,https://www.jstage.jst.go.jp/article/jvms/84/3/84_21-0486/_pdf/-char/ja,,"others: Sample No.3, winter;"
2019,Non-edible Parts,Chicken,Cecal content,,plate_count,Campylobacter spp.,4.20E+03,CFU/g,National Institute of Health Sciences,The incidence of Campylobacter contamination levels through Chicken-Sashimi Processing steps in A Small-scale Poultry processing plant applying the External stripping method,https://www.jstage.jst.go.jp/article/jvms/84/3/84_21-0486/_pdf/-char/ja,,"others: Sample No.4, winter;"
2019,Non-edible Parts,Chicken,Cecal content,,plate_count,Campylobacter spp.,1.10E+03,CFU/g,National Institute of Health Sciences,The incidence of Campylobacter contamination levels through Chicken-Sashimi Processing steps in A Small-scale Poultry processing plant applying the External stripping method,https://www.jstage.jst.go.jp/article/jvms/84/3/84_21-0486/_pdf/-char/ja,,"others: Sample No.5, winter;"
2019,Non-edible Parts,Chicken,Cecal content,,plate_count,Campylobacter spp.,5.40E+03,CFU/g,National Institute of Health Sciences,The incidence of Campylobacter contamination levels through Chicken-Sashimi Processing steps in A Small-scale Poultry processing plant applying the External stripping method,https://www.jstage.jst.go.jp/article/jvms/84/3/84_21-0486/_pdf/-char/ja,,"others: Sample No.6, winter;"
2018,Non-edible Parts,Chicken,Cecal content,,plate_count,Campylobacter spp.,2.30E+04,CFU/g,National Institute of Health Sciences,The incidence of Campylobacter contamination levels through Chicken-Sashimi Processing steps in A Small-scale Poultry processing plant applying the External stripping method,https://www.jstage.jst.go.jp/article/jvms/84/3/84_21-0486/_pdf/-char/ja,,"others: Sample No.7, winter;"
2018,Non-edible Parts,Chicken,Cecal content,,plate_count,Campylobacter spp.,3.00E+02,CFU/g,National Institute of Health Sciences,The incidence of Campylobacter contamination levels through Chicken-Sashimi Processing steps in A Small-scale Poultry processing plant applying the External stripping method,https://www.jstage.jst.go.jp/article/jvms/84/3/84_21-0486/_pdf/-char/ja,,"others: Sample No.8, winter;"
2018,Non-edible Parts,Chicken,Cecal content,,plate_count,Campylobacter spp.,<1E+02,CFU/g,National Institute of Health Sciences,The incidence of Campylobacter contamination levels through Chicken-Sashimi Processing steps in A Small-scale Poultry processing plant applying the External stripping method,https://www.jstage.jst.go.jp/article/jvms/84/3/84_21-0486/_pdf/-char/ja,,"others: Sample No.9, winter;"
2019,Non-edible Parts,Chicken,Cecal content,,plate_count,Campylobacter spp.,1.10E+05,CFU/g,National Institute of Health Sciences,The incidence of Campylobacter contamination levels through Chicken-Sashimi Processing steps in A Small-scale Poultry processing plant applying the External stripping method,https://www.jstage.jst.go.jp/article/jvms/84/3/84_21-0486/_pdf/-char/ja,,"others: Sample No.10, winter;"
2019,Non-edible Parts,Chicken,Cecal content,,plate_count,Campylobacter spp.,1.70E+04,CFU/g,National Institute of Health Sciences,The incidence of Campylobacter contamination levels through Chicken-Sashimi Processing steps in A Small-scale Poultry processing plant applying the External stripping method,https://www.jstage.jst.go.jp/article/jvms/84/3/84_21-0486/_pdf/-char/ja,,"others: Sample No.11, winter;"
2019,Non-edible Parts,Chicken,Cecal content,,plate_count,Campylobacter spp.,7.50E+03,CFU/g,National Institute of Health Sciences,The incidence of Campylobacter contamination levels through Chicken-Sashimi Processing steps in A Small-scale Poultry processing plant applying the External stripping method,https://www.jstage.jst.go.jp/article/jvms/84/3/84_21-0486/_pdf/-char/ja,,"others: Sample No.12, winter;"
2018,Non-edible Parts,Chicken,Cecal content,,plate_count,Campylobacter spp.,1.00E+02,CFU/g,National Institute of Health Sciences,The incidence of Campylobacter contamination levels through Chicken-Sashimi Processing steps in A Small-scale Poultry processing plant applying the External stripping method,https://www.jstage.jst.go.jp/article/jvms/84/3/84_21-0486/_pdf/-char/ja,,"others: Sample No.13, winter;"
